"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
3167,"宅地(土地)","住宅地","12101","千葉県","千葉市中央区","松波","千葉","7",420000000,"800000","","1700",240000,"不整形","28.0","","","","","店舗","北","市道",13.5,"第１種住居地域",60,200,"2014年第４四半期","",""
3168,"宅地(土地)","住宅地","12101","千葉県","千葉市中央区","松波","千葉","7",170000000,"800000","","690",240000,"不整形","23.4","","","","","店舗","南東","市道",10.9,"第１種住居地域",60,200,"2014年第４四半期","",""
3169,"宅地(土地)","住宅地","12101","千葉県","千葉市中央区","松波","千葉","10",29000000,"960000","","100",290000,"ほぼ長方形","6.0","","","","","住宅","東","市道",6.0,"第１種住居地域",60,150,"2014年第３四半期","",""
3170,"宅地(土地)","住宅地","12101","千葉県","千葉市中央区","松波","千葉","10",47000000,"640000","","240",190000,"ほぼ長方形","14.0","","","","","住宅","北西","市道",6.0,"第１種住居地域",60,200,"2014年第２四半期","",""
3171,"宅地(土地)","住宅地","12101","千葉県","千葉市中央区","松波","千葉","13",30000000,"680000","","145",210000,"ほぼ長方形","9.0","","","","","","北西","市道",6.0,"第１種住居地域",60,200,"2014年第２四半期","",""
3172,"宅地(土地)","住宅地","12101","千葉県","千葉市中央区","松波","千葉","10",3600,"80","","150",24,"ほぼ長方形","9.0","","","","","住宅","北西","市道",5.5,"第１種住居地域",60,200,"2014年第２四半期","",""
3173,"中古マンション等","","12101","千葉県","千葉市中央区","春日","西千葉","3",24000000,"","３ＬＤＫ","60",,"","","","平成12年","ＲＣ","住宅","","","",,"近隣商業地域",80,300,"2011年第４四半期","未改装",""
3174,"中古マンション等","","12101","千葉県","千葉市中央区","春日","西千葉","2",35000000,"","３ＬＤＫ","65",,"","","","平成23年","ＲＣ","住宅","","","",,"近隣商業地域",60,200,"2011年第４四半期","未改装",""
3175,"中古マンション等","","12101","千葉県","千葉市中央区","春日","西千葉","4",23000000,"","２ＬＤＫ","55",,"","","","平成19年","ＲＣ","住宅","","","",,"第１種住居地域",60,200,"2011年第３四半期","未改装","調停・競売等"
3176,"宅地(土地と建物)","住宅地","12101","千葉県","千葉市中央区","春日","西千葉","6",40000000,"","","145",,"ほぼ長方形","9.5","210","平成2年","鉄骨造","事務所","","北東","市道",10.8,"第１種住居地域",60,200,"2011年第１四半期","",""
3177,"中古マンション等","","12101","千葉県","千葉市中央区","春日","西千葉","3",27000000,"","３ＬＤＫ","75",,"","","","平成12年","ＲＣ","住宅","","","",,"近隣商業地域",80,300,"2011年第１四半期","未改装",""
3178,"宅地(土地と建物)","住宅地","12101","千葉県","千葉市中央区","葛城","千葉","30分?60分",21000000,"","","100",,"ほぼ長方形","8.0","95","平成23年","木造","住宅","","西","市道",4.5,"第１種中高層住居専用地域",60,200,"2011年第４四半期","",""
3179,"宅地(土地)","住宅地","12101","千葉県","千葉市中央区","松波","西千葉","8",110000000,"980000","","370",300000,"不整形","20.0","","","","","住宅","南西","市道",13.0,"第１種住居地域",60,200,"2014年第４四半期","",""
3180,"宅地(土地)","住宅地","12101","千葉県","千葉市中央区","松波","西千葉","9",38000000,"770000","","165",230000,"ほぼ長方形","10.5","","","","","住宅","北西","市道",6.0,"第１種住居地域",60,150,"2014年第４四半期","",""
3181,"宅地(土地と建物)","住宅地","12101","千葉県","千葉市中央区","葛城","千葉","30分?60分",9000000,"","","130",,"長方形","14.0","80","昭和58年","木造","住宅","","南","私道",4.0,"第１種中高層住居専用地域",60,200,"2011年第３四半期","",""
3182,"宅地(土地)","住宅地","12101","千葉県","千葉市中央区","松波","西千葉","9",33000000,"660000","","165",200000,"不整形","9.1","","","","","住宅","北西","市道",6.0,"第１種住居地域",60,200,"2014年第４四半期","",""
3183,"宅地(土地と建物)","住宅地","12101","千葉県","千葉市中央区","葛城","千葉","30分?60分",11000000,"","","100",,"ほぼ台形","8.0","95","平成5年","木造","住宅","","西","道路",4.0,"第１種中高層住居専用地域",60,200,"2011年第２四半期","",""
