"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1201,"宅地(土地と建物)","住宅地","13219","東京都","狛江市","岩戸南","喜多見","15",49000000,"","","110",,"長方形","8.1","90","平成25年","木造","住宅","","南東","私道",4.5,"第１種低層住居専用地域",40,80,"2014年第１四半期","",""
1202,"宅地(土地と建物)","住宅地","13219","東京都","狛江市","岩戸南","喜多見","12",1600000,"","","75",,"不整形","1.3","","","","","","南","私道",4.0,"第１種低層住居専用地域",40,60,"2014年第１四半期","","私道を含む取引"
1203,"宅地(土地と建物)","住宅地","13219","東京都","狛江市","岩戸南","喜多見","11",47000000,"","","115",,"ほぼ長方形","6.0","90","平成25年","木造","住宅","","北西","市道",4.0,"第１種低層住居専用地域",40,80,"2014年第１四半期","",""
1204,"宅地(土地と建物)","住宅地","13219","東京都","狛江市","岩戸南","喜多見","21",39000000,"","","100",,"ほぼ長方形","9.0","80","平成25年","木造","住宅","","北東","市道",5.0,"第１種低層住居専用地域",40,80,"2014年第１四半期","",""
1205,"宅地(土地と建物)","住宅地","13219","東京都","狛江市","岩戸南","喜多見","19",42000000,"","","105",,"ほぼ長方形","7.3","80","平成25年","木造","住宅","","南東","市道",5.0,"第１種低層住居専用地域",40,80,"2014年第１四半期","",""
1206,"宅地(土地と建物)","住宅地","13219","東京都","狛江市","岩戸南","喜多見","24",39000000,"","","105",,"ほぼ長方形","5.4","80","平成25年","木造","住宅","住宅","南","市道",9.0,"第１種低層住居専用地域",40,80,"2014年第１四半期","",""
1207,"宅地(土地と建物)","住宅地","13219","東京都","狛江市","岩戸南","喜多見","11",42000000,"","","105",,"長方形","7.8","85","平成25年","木造","住宅","住宅","北西","私道",4.0,"第１種低層住居専用地域",40,80,"2014年第１四半期","",""
1208,"宅地(土地と建物)","住宅地","13219","東京都","狛江市","岩戸南","喜多見","15",61000000,"","","115",,"ほぼ長方形","7.7","90","平成25年","木造","住宅","住宅","北東","市道",5.0,"第１種低層住居専用地域",40,80,"2014年第１四半期","",""
1209,"宅地(土地と建物)","住宅地","13219","東京都","狛江市","岩戸南","喜多見","10",47000000,"","","105",,"ほぼ整形","13.1","85","平成26年","木造","住宅","住宅","南東","市道",4.3,"第１種低層住居専用地域",40,80,"2014年第１四半期","",""
1210,"宅地(土地)","住宅地","13219","東京都","狛江市","岩戸南","喜多見","10",29000000,"1400000","","65",440000,"長方形","5.4","","","","","住宅","南","市道",3.0,"第１種中高層住居専用地域",60,200,"2014年第１四半期","","私道を含む取引"
1211,"中古マンション等","","13219","東京都","狛江市","岩戸南","喜多見","8",15000000,"","２ＤＫ","45",,"","","","昭和49年","ＲＣ","住宅","","","",,"近隣商業地域",80,300,"2014年第１四半期","改装済",""
1212,"中古マンション等","","13219","東京都","狛江市","岩戸南","喜多見","21",24000000,"","３ＬＤＫ","75",,"","","","平成14年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2014年第１四半期","未改装",""
1213,"宅地(土地)","住宅地","13219","東京都","狛江市","中和泉","狛江","13",57000000,"970000","","195",290000,"ほぼ整形","12.5","","","","","","東","市道",4.0,"第１種低層住居専用地域",40,80,"2011年第４四半期","",""
1214,"宅地(土地)","住宅地","13219","東京都","狛江市","中和泉","狛江","14",120000000,"880000","","440",270000,"ほぼ台形","15.0","","","","","","北東","市道",4.0,"第１種低層住居専用地域",40,80,"2011年第４四半期","",""
1215,"宅地(土地と建物)","住宅地","13219","東京都","狛江市","中和泉","狛江","14",56000000,"","","110",,"ほぼ長方形","11.5","85","平成23年","木造","住宅","","西","市道",4.0,"第１種低層住居専用地域",40,80,"2011年第４四半期","",""
1216,"宅地(土地)","住宅地","13219","東京都","狛江市","中和泉","狛江","15",82000000,"800000","","340",240000,"ほぼ長方形","12.0","","","","","","北東","私道",5.0,"第１種低層住居専用地域",40,80,"2011年第４四半期","",""
1217,"宅地(土地)","住宅地","13219","東京都","狛江市","中和泉","狛江","7",58000000,"860000","","220",260000,"ほぼ台形","10.0","","","","","","南東","私道",4.0,"第１種低層住居専用地域",40,80,"2011年第４四半期","","私道を含む取引"
1218,"宅地(土地と建物)","住宅地","13219","東京都","狛江市","中和泉","狛江","14",42000000,"","","150",,"長方形","11.5","130","昭和54年","木造","住宅","","北西","市道",4.0,"第１種低層住居専用地域",40,80,"2011年第３四半期","",""
1219,"宅地(土地と建物)","住宅地","13219","東京都","狛江市","中和泉","狛江","8",43000000,"","","75",,"ほぼ長方形","4.9","90","平成23年","木造","住宅","","西","都道",16.0,"第１種住居地域",60,200,"2011年第２四半期","",""
1220,"宅地(土地と建物)","住宅地","13219","東京都","狛江市","中和泉","狛江","17",51000000,"","","105",,"不整形","7.3","85","平成23年","木造","住宅","","南","私道",4.0,"第１種低層住居専用地域",40,80,"2011年第２四半期","",""
1221,"宅地(土地と建物)","住宅地","13219","東京都","狛江市","中和泉","狛江","18",51000000,"","","105",,"ほぼ整形","9.5","85","平成23年","木造","住宅","","南","私道",4.0,"第１種低層住居専用地域",40,80,"2011年第２四半期","",""
1222,"宅地(土地と建物)","住宅地","13219","東京都","狛江市","岩戸南","狛江","13",47000000,"","","125",,"ほぼ長方形","","100","平成26年","木造","","住宅","南","私道",,"第１種低層住居専用地域",40,80,"2014年第４四半期","",""
1223,"宅地(土地と建物)","住宅地","13219","東京都","狛江市","中和泉","狛江","11",55000000,"","","120",,"ほぼ長方形","8.0","95","平成23年","木造","住宅","","西","市道",4.0,"第１種低層住居専用地域",40,80,"2011年第２四半期","",""
1224,"宅地(土地と建物)","住宅地","13219","東京都","狛江市","岩戸南","狛江","11",51000000,"","","120",,"不整形","11.4","95","平成26年","木造","住宅","住宅","北東","市道",4.0,"第１種低層住居専用地域",40,80,"2014年第４四半期","",""
1225,"宅地(土地と建物)","住宅地","13219","東京都","狛江市","中和泉","狛江","17",43000000,"","","115",,"不整形","3.0","80","平成23年","木造","住宅","","南","私道",4.0,"第１種低層住居専用地域",40,80,"2011年第２四半期","","私道を含む取引"
1226,"宅地(土地)","住宅地","13219","東京都","狛江市","中和泉","狛江","12",63000000,"990000","","210",300000,"ほぼ長方形","10.3","","","","","","西","市道",4.0,"第１種低層住居専用地域",40,80,"2011年第１四半期","",""
1227,"宅地(土地と建物)","住宅地","13219","東京都","狛江市","岩戸南","狛江","14",46000000,"","","110",,"ほぼ長方形","8.2","85","平成26年","木造","住宅","住宅","北西","市道",4.0,"第１種低層住居専用地域",40,80,"2014年第４四半期","",""
1228,"宅地(土地)","住宅地","13219","東京都","狛江市","中和泉","狛江","13",21000000,"920000","","75",280000,"ほぼ長方形","8.0","","","","","","北西","私道",4.3,"第１種低層住居専用地域",40,80,"2011年第１四半期","",""
1229,"宅地(土地と建物)","住宅地","13219","東京都","狛江市","岩戸南","狛江","14",39000000,"","","105",,"袋地等","3.3","85","平成26年","木造","住宅","住宅","北西","市道",4.0,"第１種低層住居専用地域",40,80,"2014年第４四半期","",""
1230,"宅地(土地と建物)","住宅地","13219","東京都","狛江市","中和泉","狛江","17",49000000,"","","105",,"ほぼ整形","7.9","85","平成23年","木造","住宅","","東","市道",6.1,"第１種低層住居専用地域",40,80,"2011年第１四半期","",""
1231,"宅地(土地と建物)","住宅地","13219","東京都","狛江市","岩戸南","狛江","21",41000000,"","","110",,"長方形","5.6","85","平成26年","木造","住宅","住宅","南西","市道",5.0,"第１種低層住居専用地域",40,80,"2014年第３四半期","",""
1232,"宅地(土地)","住宅地","13219","東京都","狛江市","中和泉","狛江","11",33000000,"1100000","","100",330000,"袋地等","2.5","","","","","","西","市道",4.0,"第１種低層住居専用地域",40,80,"2011年第１四半期","",""
1233,"宅地(土地と建物)","住宅地","13219","東京都","狛江市","岩戸南","狛江","20",29000000,"","","65",,"不整形","4.4","110","平成7年","木造","住宅、駐車場","住宅","北","都道",7.0,"第１種中高層住居専用地域",60,200,"2014年第２四半期","",""
1234,"宅地(土地と建物)","住宅地","13219","東京都","狛江市","岩戸南","狛江","13",29000000,"","","100",,"台形","9.4","105","昭和61年","木造","住宅","住宅","南","市道",5.0,"第１種低層住居専用地域",40,80,"2014年第２四半期","",""
1235,"宅地(土地と建物)","住宅地","13219","東京都","狛江市","岩戸南","狛江","21",39000000,"","","100",,"ほぼ台形","9.3","80","平成25年","木造","住宅","","北東","市道",5.0,"第１種低層住居専用地域",40,80,"2014年第１四半期","",""
1236,"中古マンション等","","13219","東京都","狛江市","岩戸南","狛江","9",22000000,"","３ＬＤＫ","55",,"","","","","ＲＣ","住宅","","","",,"第１種住居地域",60,200,"2014年第１四半期","改装済",""
1237,"中古マンション等","","13219","東京都","狛江市","岩戸南","狛江","9",28000000,"","３ＬＤＫ","60",,"","","","平成6年","ＲＣ","住宅","","","",,"第１種住居地域",60,200,"2014年第１四半期","改装済",""
